TIME,F_EVALUATIONS,FUNCTION,CONFIG_FILE_PATH,OUTCOME_FILE,GENERATION,BEST_ELEMENT,F_OPT
5.476608357,104230,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_17:44:07.csv,68,-33.394950185463586,-49.2
5.674268896,59095,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_17:45:29.csv,38,-32.62329520544508,-49.2
5.389269563,70974,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_17:46:47.csv,46,-37.606423433990614,-49.2
5.659063095,80062,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_17:48:14.csv,52,-35.08915461702551,-49.2
5.435950201,61957,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_17:49:41.csv,40,-29.284583865454067,-49.2
22.883489395,69537,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:15:50.csv,45,-38.477639884718755,-49.2
5.472836797,96516,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:17:18.csv,63,-31.272170868444395,-49.2
5.197351787,57666,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:18:42.csv,37,-37.64280653115708,-49.2
5.201378438,95071,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:20:05.csv,62,-26.33907335589641,-49.2
4.830100484,52960,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:21:21.csv,34,-35.49202204591292,-49.2
4.89837942,56089,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:22:35.csv,36,-24.334422773922444,-49.2
5.016953706,72575,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:23:58.csv,47,-33.66658174765294,-49.2
5.077469925,75709,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:25:22.csv,49,-29.059964124740297,-49.2
5.11982627,70902,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:26:51.csv,46,-29.509174499005894,-49.2
4.858781911,63504,Rastrigin,config_file_10,./data/Outcomes/config_file_10_Rastrigin_18:28:12.csv,41,-35.2391751015287,-49.2
5.411305576,141083,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:29:29.csv,61,-24.278273243283003,-49.2
6.093482136,181637,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:30:42.csv,79,-26.51694136573014,-49.2
6.231375905,143440,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:32:03.csv,62,-21.836970631801776,-49.2
6.020203888,211163,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:33:34.csv,92,-38.881108354004716,-49.2
6.961261157,215696,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:34:55.csv,94,-24.688971800343566,-49.2
5.693817822,136553,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:36:17.csv,59,-21.192778166727084,-49.2
6.467023555,129844,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:37:38.csv,56,-26.672341370276406,-49.2
5.785532948,102585,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:39:04.csv,44,-27.000820698914538,-49.2
5.968601531,134346,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:40:34.csv,58,-17.049759402330068,-49.2
5.892875971,127726,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:42:04.csv,55,-28.756178212412173,-49.2
6.399204356,175229,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:43:38.csv,76,-15.535055876145705,-49.2
6.210790029,152256,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:45:08.csv,66,-4.2115321631588,-49.2
5.893154521,105083,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:46:34.csv,45,-27.7086921702396,-49.2
5.507940099,102896,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:48:02.csv,44,-15.77052787660351,-49.2
6.450842472,138794,Rastrigin,config_file_11,./data/Outcomes/config_file_11_Rastrigin_18:49:28.csv,60,-22.01611665466562,-49.2
8.686922811,216183,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_18:50:55.csv,46,114.71297593578639,-49.2
8.495828123,229987,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_18:52:30.csv,49,120.16744735871426,-49.2
9.585023626,284149,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_18:53:59.csv,61,103.24643464994982,-49.2
8.880055467,266300,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_18:55:25.csv,57,109.4692430232959,-49.2
11.163202358,315822,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_18:57:05.csv,68,107.6456883673235,-49.2
8.18370263,211438,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_18:58:39.csv,45,124.22869323294798,-49.2
12.971663022,329130,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_19:00:35.csv,71,97.70213996518628,-49.2
11.142839021,383620,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_19:02:13.csv,83,85.33310805927978,-49.2
14.229573845,411211,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_19:04:12.csv,89,88.98656198902437,-49.2
9.595189136,215950,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_19:06:03.csv,46,109.42841172675124,-49.2
9.637072261,229947,Rastrigin,config_file_12,./data/Outcomes/config_file_12_Rastrigin_19:07:42.csv,49,118.74043992916272,-49.2
