TIME,F_EVALUATIONS,FUNCTION,CONFIG_FILE_PATH,OUTCOME_FILE,GENERATION,BEST_ELEMENT,F_OPT
19.593583015,528076,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:16:50.csv,68,358.4367771858593,-49.2
20.671375781,602536,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:18:29.csv,78,346.94114322996717,-49.2
20.031383701,557988,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:20:20.csv,72,349.98577651379725,-49.2
22.559586819,512473,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:22:11.csv,66,393.9053134841677,-49.2
15.547027963,347060,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:24:10.csv,44,408.99134937842547,-49.2
17.534431227,512629,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:25:45.csv,66,367.07401830997475,-49.2
19.371786758,474982,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:27:34.csv,61,395.35963395778214,-49.2
18.473141519,422607,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:29:24.csv,54,385.0104177217318,-49.2
18.456134775,489961,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:31:11.csv,63,356.30412931932807,-49.2
27.688152011,685921,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:33:08.csv,89,350.1004646675464,-49.2
14.052907487,339553,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:34:48.csv,43,418.2478476621485,-49.2
15.432966416,324562,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:36:31.csv,41,396.98370004051066,-49.2
16.78700095,437456,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:38:22.csv,56,370.47722242539254,-49.2
22.66636758,730416,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:40:04.csv,95,356.9088950694659,-49.2
20.898453833,663332,Rastrigin,config_file_13,./data/Outcomes/config_file_13_Rastrigin_19:41:39.csv,86,360.5879265346031,-49.2
15.469381235,409800,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:29:23.csv,53,423.51082785070935,-49.2
16.417017633,447175,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:31:00.csv,58,421.4756689000972,-49.2
13.859532686,335206,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:32:36.csv,43,478.82426618933033,-49.2
21.271830641,634007,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:34:17.csv,83,459.2447899729144,-49.2
19.107708482,484390,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:36:01.csv,63,436.34429586793505,-49.2
15.669035797,410118,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:37:41.csv,53,455.89218042997584,-49.2
16.161046424,454455,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:39:24.csv,59,405.792556351755,-49.2
20.14818848,529608,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:41:11.csv,69,418.4119669873851,-49.2
16.908053408,432114,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:42:52.csv,56,474.1001564160338,-49.2
26.026660838,783390,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:44:38.csv,103,443.76092337575346,-49.2
22.102150927,603986,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:46:21.csv,79,429.8575361170993,-49.2
17.554234948,424427,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:48:10.csv,55,459.31173282948237,-49.2
29.591126571,932893,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:49:56.csv,123,434.8024269191765,-49.2
18.811134673,536634,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:51:30.csv,70,454.5303060667513,-49.2
14.149626343,342347,Rastrigin,config_file_16,./data/Outcomes/config_file_16_Rastrigin_17:53:01.csv,44,487.2977741213238,-49.2
24.474854726,771262,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_18:58:53.csv,101,169.08667958910274,-49.2
17.878346965,493726,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:00:22.csv,64,169.31740544024916,-49.2
20.417253357,583492,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:02:10.csv,76,221.061062889097,-49.2
28.045414185,883593,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:04:04.csv,116,160.22428079846713,-49.2
22.914638103,673615,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:05:54.csv,88,163.21440903572045,-49.2
28.712573202,891497,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:07:48.csv,117,167.1371831010539,-49.2
22.727536046,666019,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:09:36.csv,87,183.2030113452899,-49.2
22.055943298,643453,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:11:23.csv,84,182.2244154533385,-49.2
21.342232042,613942,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:13:09.csv,80,180.7113762547881,-49.2
30.818042866,860797,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:15:13.csv,113,166.62175137978466,-49.2
20.315806964,493565,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:17:11.csv,64,204.61982786186343,-49.2
28.002396074,666101,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:19:27.csv,87,172.6375956758768,-49.2
35.804832216,598644,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:22:11.csv,78,199.74060574508104,-49.2
46.209463974,868182,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:25:35.csv,114,174.16054549225186,-49.2
43.757156678,545890,Rastrigin,config_file_17,./data/Outcomes/config_file_17_Rastrigin_19:29:07.csv,71,191.97484850693087,-49.2
24.435674454,694682,Rastrigin,config_file_18,./data/Outcomes/config_file_18_Rastrigin_08:36:35.csv,91,200.5765716302052,-49.2
19.469265696,551459,Rastrigin,config_file_18,./data/Outcomes/config_file_18_Rastrigin_08:38:15.csv,72,175.36039760253556,-49.2
