TIME,F_EVALUATIONS,FUNCTION,CONFIG_FILE_PATH,OUTCOME_FILE,GENERATION,BEST_ELEMENT,F_OPT
5.151396862,6139,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:39:51.csv,39,99.89760458331793,-79.15
4.251689098,6383,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:41:50.csv,41,108.89140001212331,-79.15
4.358046309,8392,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:43:37.csv,54,45.3614664507694,-79.15
4.169631045,4900,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:45:19.csv,31,126.14180615800308,-79.15
4.476525164,5614,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:47:03.csv,36,96.76723471881846,-79.15
4.89096333,9864,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:48:48.csv,64,68.48781832510755,-79.15
4.239714512,9306,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:50:33.csv,60,81.35294753612627,-79.15
4.519097744,7470,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:52:18.csv,48,59.19913287687362,-79.15
4.103504671,7747,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:54:01.csv,50,124.3486200358445,-79.15
4.101021443,10910,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:55:43.csv,71,53.747408861023786,-79.15
4.251440493,5911,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:57:30.csv,38,93.92626417309432,-79.15
4.200868544,8539,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_16:59:15.csv,55,116.7579002849699,-79.15
4.361283589,11873,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_17:01:01.csv,77,40.26965191604668,-79.15
4.339911292,6259,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_17:02:47.csv,40,122.86328074820656,-79.15
4.213499956,6864,Rastrigin,config_file_5,./data/Outcomes/config_file_5_Rastrigin_17:04:33.csv,44,93.11043390359723,-79.15
TIME,F_EVALUATIONS,FUNCTION,CONFIG_FILE_PATH,OUTCOME_FILE,GENERATION,BEST_ELEMENT,F_OPT
5.063970396,2480,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_17:54:56.csv,17,-73.01662002011726,-79.15
4.984452116,2900,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_17:56:56.csv,20,-76.04339333104446,-79.15
5.262078438,2480,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_17:58:57.csv,17,-76.84216442590454,-79.15
4.575773,2760,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:00:45.csv,19,-73.71072174296283,-79.15
4.431248194,2760,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:02:29.csv,19,-74.98110498702177,-79.15
4.005022341,2900,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:04:12.csv,20,-73.03505889346961,-79.15
4.110336488,2620,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:05:47.csv,18,-76.34045871345754,-79.15
4.601732336,2480,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:07:24.csv,17,-73.39110854659184,-79.15
4.687336468,2340,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:09:10.csv,16,-76.9363156932075,-79.15
4.270560583,2760,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:10:57.csv,19,-73.64869107740562,-79.15
4.967885521,2480,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:12:53.csv,17,-73.98612021581889,-79.15
4.527621716,2620,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:14:46.csv,18,-76.0959867455246,-79.15
4.709026344,2900,Rastrigin,config_file_1,./data/Outcomes/config_file_1_Rastrigin_18:16:37.csv,20,-69.95886128700059,-79.15
